Topic,Sub-Category,Title,Volume,Author,Abstract,Keywords,Fdist,Hapaxes
Life Sciences,Environmental Science,Wi-Fi is an important threat to human health,"Environmental ResearchVolume 164, July 2018, Pages 405-416",Martin L.Pall,"Repeated Wi-Fi studies show that Wi-Fi causes oxidative stress, sperm/testicular damage, neuropsychiatric effects including EEG changes, apoptosis, cellular DNA damage, endocrine changes, and calcium overload. Each of these effects are also caused by exposures to other microwave frequency EMFs, with each such effect being documented in from 10 to 16 reviews. Therefore, each of these seven EMF effects are established effects of Wi-Fi and of other microwave frequency EMFs. Each of these seven is also produced by downstream effects of the main action of such EMFs, voltage-gated calcium channel (VGCC) activation. While VGCC activation via EMF interaction with the VGCC voltage sensor seems to be the predominant mechanism of action of EMFs, other mechanisms appear to have minor roles. Minor roles include activation of other voltage-gated ion channels, calcium cyclotron resonance and the geomagnetic magnetoreception mechanism. Five properties of non-thermal EMF effects are discussed. These are that pulsed EMFs are, in most cases, more active than are non-pulsed EMFs; artificial EMFs are polarized and such polarized EMFs are much more active than non-polarized EMFs; dose-response curves are non-linear and non-monotone; EMF effects are often cumulative; and EMFs may impact young people more than adults. These general findings and data presented earlier on Wi-Fi effects were used to assess the Foster and Moulder (F&M) review of Wi-Fi. The F&M study claimed that there were seven important studies of Wi-Fi that each showed no effect. However, none of these were Wi-Fi studies, with each differing from genuine Wi-Fi in three distinct ways. F&M could, at most conclude that there was no statistically significant evidence of an effect. The tiny numbers studied in each of these seven F&M-linked studies show that each of them lack power to make any substantive conclusions. In conclusion, there are seven repeatedly found Wi-Fi effects which have also been shown to be caused by other similar EMF exposures. Each of the seven should be considered, therefore, as established effects of Wi-Fi.",Electromagnetic field (EMF)Brain impactTestis/sperm count and qualityImpact of pulsation and polarizationActivation of voltage-gated calcium channelsWi-Fi or WiFi,"[('Wi-Fi', 10), ('effects', 10), ('EMFs', 10), ('EMF', 5), ('studies', 4), ('F', 4), ('calcium', 3), ('Each', 3), ('effect', 3), ('VGCC', 3)]","['Repeated', 'causes', 'oxidative', 'stress', 'sperm/testicular', 'neuropsychiatric', 'including', 'EEG', 'apoptosis', 'cellular', 'DNA', 'endocrine', 'overload', 'documented', 'reviews', 'Therefore', 'produced', 'downstream', 'channel', 'While', 'via', 'interaction', 'voltage', 'sensor', 'predominant', 'mechanisms', 'appear', 'minor', 'Minor', 'include', 'ion', 'channels', 'cyclotron', 'resonance', 'geomagnetic', 'magnetoreception', 'Five', 'properties', 'non-thermal', 'discussed', 'pulsed', 'cases', 'non-pulsed', 'artificial', 'non-polarized', 'dose-response', 'curves', 'non-linear', 'non-monotone', 'often', 'cumulative', 'impact', 'young', 'people', 'adults', 'general', 'findings', 'data', 'presented', 'earlier', 'used', 'assess', 'Foster', 'Moulder', 'review', 'study', 'claimed', 'important', 'showed', 'However', 'differing', 'genuine', 'three', 'distinct', 'ways', 'conclude', 'statistically', 'significant', 'evidence', 'tiny', 'numbers', 'studied', 'M-linked', 'lack', 'power', 'make', 'substantive', 'conclusions', 'conclusion', 'repeatedly', 'found', 'shown', 'similar', 'considered', 'therefore']"
Life Sciences,Environmental Science,Worldwide decline of the entomofauna: A review of its drivers,"Biological ConservationVolume 232, April 2019, Pages 8-27",FranciscoS�nchez-BayoaKris A.G.Wyckhuysbcd,"Biodiversity of insects is threatened worldwide. Here, we present a comprehensive review of 73 historical reports of insect declines from across the globe, and systematically assess the underlying drivers. Our work reveals dramatic rates of decline that may lead to the extinction of 40% of the world's insect species over the next few decades. In terrestrial ecosystems, Lepidoptera, Hymenoptera and dung beetles (Coleoptera) appear to be the taxa most affected, whereas four major aquatic taxa (Odonata, Plecoptera, Trichoptera and Ephemeroptera) have already lost a considerable proportion of species. Affected insect groups not only include specialists that occupy particular ecological niches, but also many common and generalist species. Concurrently, the abundance of a small number of species is increasing; these are all adaptable, generalist species that are occupying the vacant niches left by the ones declining. Among aquatic insects, habitat and dietary generalists, and pollutant-tolerant species are replacing the large biodiversity losses experienced in waters within agricultural and urban settings. The main drivers of species declines appear to be in order of importance: i) habitat loss and conversion to intensive agriculture and urbanisation; ii) pollution, mainly that by synthetic pesticides and fertilisers; iii) biological factors, including pathogens and introduced species; and iv) climate change. The latter factor is particularly important in tropical regions, but only affects a minority of species in colder climes and mountain settings of temperate zones. A rethinking of current agricultural practices, in particular a serious reduction in pesticide usage and its substitution with more sustainable, ecologically-based practices, is urgently needed to slow or reverse current trends, allow the recovery of declining insect populations and safeguard the vital ecosystem services they provide. In addition, effective remediation technologies should be applied to clean polluted waters in both agricultural and urban environments.",ExtinctionPollinatorsAquatic insectsAgriculturePesticidesEcosystem servicesGlobal change ecology,"[('species', 9), ('insect', 4), ('agricultural', 3), ('insects', 2), ('declines', 2), ('drivers', 2), ('appear', 2), ('taxa', 2), ('aquatic', 2), ('particular', 2)]","['Biodiversity', 'threatened', 'worldwide', 'Here', 'present', 'comprehensive', 'review', 'historical', 'reports', 'across', 'globe', 'systematically', 'assess', 'underlying', 'Our', 'work', 'reveals', 'dramatic', 'rates', 'decline', 'lead', 'extinction', 'world', 'next', 'decades', 'terrestrial', 'ecosystems', 'Lepidoptera', 'Hymenoptera', 'dung', 'beetles', 'Coleoptera', 'affected', 'four', 'major', 'Odonata', 'Plecoptera', 'Trichoptera', 'Ephemeroptera', 'lost', 'considerable', 'proportion', 'Affected', 'groups', 'include', 'specialists', 'occupy', 'ecological', 'common', 'Concurrently', 'abundance', 'small', 'number', 'increasing', 'adaptable', 'occupying', 'vacant', 'left', 'dietary', 'generalists', 'pollutant-tolerant', 'replacing', 'large', 'biodiversity', 'losses', 'experienced', 'within', 'order', 'importance', ':', 'loss', 'conversion', 'intensive', 'agriculture', 'urbanisation', 'ii', 'pollution', 'mainly', 'synthetic', 'pesticides', 'fertilisers', 'iii', 'biological', 'factors', 'including', 'pathogens', 'introduced', 'climate', 'change', 'latter', 'factor', 'particularly', 'important', 'tropical', 'regions', 'affects', 'minority', 'colder', 'climes', 'mountain', 'temperate', 'zones', 'rethinking', 'serious', 'reduction', 'pesticide', 'usage', 'substitution', 'sustainable', 'ecologically-based', 'urgently', 'needed', 'slow', 'reverse', 'trends', 'allow', 'recovery', 'populations', 'safeguard', 'vital', 'ecosystem', 'services', 'provide', 'addition', 'effective', 'remediation', 'technologies', 'applied', 'clean', 'polluted', 'environments']"
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Aluminium in brain tissue in autism,"Journal of Trace Elements in Medicine and BiologyVolume 46, March 2018, Pages 76-82",MatthewMoldaDorcasUmarbAndrewKingcChristopherExleya,"Autism spectrum disorder is a neurodevelopmental disorder of unknown aetiology. It is suggested to involve both genetic susceptibility and environmental factors including in the latter environmental toxins. Human exposure to the environmental toxin aluminium has been linked, if tentatively, to autism spectrum disorder. Herein we have used transversely heated graphite furnace atomic absorption spectrometry to measure, for the first time, the aluminium content of brain tissue from donors with a diagnosis of autism. We have also used an aluminium-selective fluor to identify aluminium in brain tissue using fluorescence microscopy. The aluminium content of brain tissue in autism was consistently high. The mean (standard deviation) aluminium content across all 5 individuals for each lobe were 3.82(5.42), 2.30(2.00), 2.79(4.05) and 3.82(5.17) μg/g dry wt. for the occipital, frontal, temporal and parietal lobes respectively. These are some of the highest values for aluminium in human brain tissue yet recorded and one has to question why, for example, the aluminium content of the occipital lobe of a 15 year old boy would be 8.74 (11.59) μg/g dry wt.? Aluminium-selective fluorescence microscopy was used to identify aluminium in brain tissue in 10 donors. While aluminium was imaged associated with neurones it appeared to be present intracellularly in microglia-like cells and other inflammatory non-neuronal cells in the meninges, vasculature, grey and white matter. The pre-eminence of intracellular aluminium associated with non-neuronal cells was a standout observation in autism brain tissue and may offer clues as to both the origin of the brain aluminium as well as a putative role in autism spectrum disorder.",Human exposure to aluminiumHuman brain tissueAutism spectrum disorderTransversely heated atomic absorption spectrometryAluminium-selective fluorescence microscopy,"[('aluminium', 11), ('brain', 7), ('tissue', 6), ('autism', 5), ('disorder', 4), ('content', 4), ('spectrum', 3), ('environmental', 3), ('cells', 3), ('donors', 2)]","['Autism', 'neurodevelopmental', 'unknown', 'aetiology', 'It', 'suggested', 'involve', 'genetic', 'susceptibility', 'factors', 'including', 'latter', 'toxins', 'Human', 'exposure', 'toxin', 'linked', 'tentatively', 'Herein', 'transversely', 'heated', 'graphite', 'furnace', 'atomic', 'absorption', 'spectrometry', 'measure', 'first', 'time', 'diagnosis', 'We', 'aluminium-selective', 'fluor', 'consistently', 'high', 'mean', 'standard', 'deviation', 'across', 'individuals', 'frontal', 'temporal', 'parietal', 'lobes', 'respectively', 'highest', 'values', 'human', 'yet', 'recorded', 'question', 'example', 'year', 'old', 'boy', 'would', 'Aluminium-selective', 'While', 'imaged', 'neurones', 'appeared', 'present', 'intracellularly', 'microglia-like', 'inflammatory', 'meninges', 'vasculature', 'grey', 'white', 'matter', 'pre-eminence', 'intracellular', 'standout', 'observation', 'offer', 'clues', 'origin', 'well', 'putative', 'role']"
Life Sciences,"Biochemistry, Genetics and Molecular Biology",Bleb Formation in Human Fibrosarcoma HT1080 Cancer Cell Line Is Positively Regulated by the Lipid Signalling Phospholipase D2 (PLD2),"Achievements in the Life SciencesVolume 10, Issue 2, December 2016, Pages 125-135",Godwin A.PonuweiPhil R.Dash1,"Blebs are spherical plasma membrane protrusions formed when the membrane detaches from the underlying cortex as a result of actomyosin contractility-powered increase of hydrostatic pressure in the cytoplasm. Different tumour cells metastasize using blebbing as alternative mode of migration by squeezing through pre-existing pores in the extracellular matrix (ECM). This study investigated the role of the lipid signalling phospholipases D1 and D2 (PLD1/PLD2) in bleb formation in human fibrosarcoma HT1080 cell line in the extracellular matrix, and reports that pharmacological inhibition of PLD1 and PLD2 with a potent universal PLD inhibitor potently inhibited bleb formation in HT1080 cells embedded in three-dimensional (3D) matrigel matrix. Use of smartpool small interfering RNAs (siRNAs) that target PLD1 and PLD2 isoforms at four different sequences revealed that PLD2, but not PLD1 is involved in blebbing of HT1080 cells. Furthermore, we demonstrate that PLD2-mediated bleb formation is via the PA-LPAR-Rho-ROCK signalling pathway. Thus, PLD2 is a promising therapeutic target in combating metastasis of cancers of fibrous connective tissues.",BlebsCancerCortexContractilityMembranePhospholipase D,"[('PLD2', 4), ('cells', 3), ('matrix', 3), ('bleb', 3), ('formation', 3), ('HT1080', 3), ('PLD1', 3), ('membrane', 2), ('blebbing', 2), ('extracellular', 2)]","['Blebs', 'spherical', 'plasma', 'protrusions', 'formed', 'detaches', 'underlying', 'cortex', 'result', 'actomyosin', 'contractility-powered', 'increase', 'hydrostatic', 'pressure', 'cytoplasm', 'Different', 'tumour', 'metastasize', 'alternative', 'mode', 'migration', 'squeezing', 'pre-existing', 'pores', 'ECM', 'This', 'study', 'investigated', 'role', 'lipid', 'phospholipases', 'PLD1/PLD2', 'human', 'fibrosarcoma', 'cell', 'line', 'reports', 'pharmacological', 'inhibition', 'potent', 'universal', 'PLD', 'inhibitor', 'potently', 'inhibited', 'embedded', 'three-dimensional', '3D', 'matrigel', 'Use', 'smartpool', 'small', 'interfering', 'RNAs', 'siRNAs', 'isoforms', 'four', 'different', 'sequences', 'revealed', 'involved', 'Furthermore', 'demonstrate', 'PLD2-mediated', 'via', 'PA-LPAR-Rho-ROCK', 'pathway', 'Thus', 'promising', 'therapeutic', 'combating', 'metastasis', 'cancers', 'fibrous', 'connective', 'tissues']"
Life Sciences,Agricultural and Biological Sciences,Structure of Extracellular Polysaccharides (EPS) Produced by Rhizobia and their Functions in Legume–Bacteria Symbiosis: — A Review,"Achievements in the Life SciencesVolume 10, Issue 2, December 2016, Pages 136-143",Pallab KumarGhoshTushar KantiMaiti,"The symbiotic diazotrophs comprise with a very diverse group of Gram negative soil bacteria, collectively called as rhizobia found in nodule of legume plant. Rhizobia adopt themselves in different environment including soil, rhizosphere and grown within legume roots, where they fix nitrogen. The establishment of symbiosis is a very complicated process involving a coordinated exchange of signal between legume plants and the symbionts. The nodule development requires synthesis of signal molecules such as Nod factors that are important for induction of nodule development. There are different types of surface polysaccharides such as lipopolysaccharides, capsular polysaccharides, neutral and acidic polysaccharides found in rhizobia. The production of symbiotically active polysaccharides may allow rhizobial strains to adapt themselves to changing environmental conditions and interact efficiently with legume plants. Despite extensive research, the actual molecular function of the surface polysaccharides of rhizobia in symbiosis remains unclear. This review emphasized on the structural composition of extracellular polysaccharide of different rhizobia isolated from different legume plants. The compositions of extracellular polysaccharides are different in different rhizobia. The various compositions of extracellular polysaccharides produced by the symbionts are considered as the signaling molecules essential for determining host plant specificity. The present status of the biological functions of the exo-polysaccharide in symbiosis such as host specificity, successful invasion, formation of infection thread and induction of nodule formation in legume plants is also summarized here.",EPSextracellular polysaccharideCPScapsular polysaccharideLPSlipopolysaccharidesCGcyclic beta glucanKPSK-antigen polysaccharideNPneutral polysaccharideKeywordsRhizobium spp.Extracellular polysaccharideProductionCompositionSuccinoglycanGalactoglucan,"[('polysaccharides', 7), ('legume', 6), ('different', 6), ('rhizobia', 5), ('nodule', 4), ('plants', 4), ('symbiosis', 3), ('extracellular', 3), ('soil', 2), ('plant', 2)]","['symbiotic', 'diazotrophs', 'comprise', 'diverse', 'group', 'Gram', 'negative', 'bacteria', 'collectively', 'called', 'Rhizobia', 'adopt', 'environment', 'including', 'rhizosphere', 'grown', 'within', 'roots', 'fix', 'nitrogen', 'establishment', 'complicated', 'process', 'involving', 'coordinated', 'exchange', 'requires', 'synthesis', 'Nod', 'factors', 'important', 'There', 'types', 'lipopolysaccharides', 'capsular', 'neutral', 'acidic', 'production', 'symbiotically', 'active', 'allow', 'rhizobial', 'strains', 'adapt', 'changing', 'environmental', 'conditions', 'interact', 'efficiently', 'Despite', 'extensive', 'research', 'actual', 'molecular', 'function', 'remains', 'unclear', 'This', 'review', 'emphasized', 'structural', 'composition', 'polysaccharide', 'isolated', 'various', 'produced', 'considered', 'signaling', 'essential', 'determining', 'present', 'status', 'biological', 'functions', 'exo-polysaccharide', 'successful', 'invasion', 'infection', 'thread', 'summarized']"
Life Sciences,Environmental Science,"Arsenic and Cadmium Contamination in Water, Sediments and Fish is a Consequence of Paddy Cultivation: Evidence of River Pollution in Sri Lanka","Achievements in the Life SciencesVolume 10, Issue 2, December 2016, Pages 144-160",PA Chintaka T.PereraaThenmoli V.SundarabarathybThavananthanSivananthawerlcSuranga P.KodithuwakkudUdeniEdirisinghea,"The upper Malwathu Oya is a seasonal river. The main livelihood of people living in the immediate vicinity of the river is paddy cultivation, and chronic kidney disease is reported among them. Farmers utilize different types of agricultural chemicals in their fields expecting bumper harvests. Several agricultural chemicals have been reported to contain toxic trace elements in Sri Lanka. Therefore, arsenic and cadmium might end up in the river water. The presence of these trace elements in the river water and sediments can result in their bioaccumulation in fish tissues. The main purpose of this study was to investigate the presence of two trace elements in water and sediments, as well as in fish tissues (gills, kidney, liver and muscle) of three food fish species, Etroplus suratensis, Anabas testudineus and Channa striata during cultivating and non-cultivating seasons of the year. Further, the level of bioaccumulation of two trace elements in fish tissues in relation to the contamination level of water and sediments was assessed. Data were gathered for 43 months. Arsenic and cadmium concentration in water showed a significant (P < 0.05) seasonal variation. Generally, the two trace elements in the river water were highest during the cultivating seasons than in other seasons. In all species, both trace elements in the gills highly depended on the concentration in the water. In all species, two trace elements in water and sediment did not significantly affect the levels in muscle tissue. Therefore, the trace element levels in the edible parts of these three fish were well below the maximum permissible levels of international institutions.",ArsenicBioaccumulationCadmiumFishTrace elementsWater,"[('trace', 8), ('water', 8), ('elements', 7), ('river', 5), ('fish', 5), ('sediments', 3), ('tissues', 3), ('species', 3), ('seasons', 3), ('levels', 3)]","['upper', 'Malwathu', 'Oya', 'livelihood', 'people', 'living', 'immediate', 'vicinity', 'paddy', 'cultivation', 'chronic', 'disease', 'among', 'Farmers', 'utilize', 'different', 'types', 'fields', 'expecting', 'bumper', 'harvests', 'Several', 'contain', 'toxic', 'Sri', 'Lanka', 'arsenic', 'might', 'end', 'result', 'purpose', 'study', 'investigate', 'liver', 'food', 'Etroplus', 'suratensis', 'Anabas', 'testudineus', 'Channa', 'striata', 'non-cultivating', 'year', 'Further', 'relation', 'contamination', 'assessed', 'Data', 'gathered', 'months', 'Arsenic', 'showed', 'significant', 'P', 'variation', 'Generally', 'highest', 'highly', 'depended', 'sediment', 'significantly', 'affect', 'tissue', 'element', 'edible', 'parts', 'maximum', 'permissible', 'international', 'institutions']"
Life Sciences,Environmental Science,Hyperthermia: Role and Risk Factor for Cancer Treatment,"Achievements in the Life SciencesVolume 10, Issue 2, December 2016, Pages 161-167",SheetalJhaPramod KumarSharmaRishabhaMalviya,"Over the past decades, cancer is the major cause of incidence of death increasing every day. Different forms of tumor therapy including radiotherapy and chemotherapy are used to treat cancer. However, hyperthermia is the technique that neglects the use of chemicals or harmful radiations. The elevated body temperature can damage the cancerous cells with minimum injury to the normal cells. Successful therapy method in combination with radiation therapy and/or chemotherapy is provided to the cancer patient which proved to be beneficial to the patients. In this review, different studies of the clinical trials are reported on the patients with tumor and the therapy associated with it.",CEMcumulative equivalent minutesUSultrasoundEMElectromagneticDFSdisease-free survivalKeywordsCancer therapyHyperthermiaRadiotherapyChemotherapyTumor,"[('therapy', 4), ('cancer', 3), ('tumor', 2), ('chemotherapy', 2), ('cells', 2), ('patients', 2), ('decades', 1), ('major', 1), ('cause', 1), ('incidence', 1)]","['decades', 'major', 'cause', 'incidence', 'death', 'increasing', 'every', 'day', 'Different', 'forms', 'including', 'radiotherapy', 'treat', 'However', 'hyperthermia', 'technique', 'neglects', 'chemicals', 'harmful', 'radiations', 'elevated', 'body', 'temperature', 'damage', 'cancerous', 'minimum', 'injury', 'normal', 'Successful', 'method', 'combination', 'radiation', 'and/or', 'provided', 'patient', 'proved', 'beneficial', 'review', 'different', 'studies', 'clinical', 'trials', 'reported', 'associated']"
Life Sciences,Environmental Science,Grip Strength and Impact on Cognitive Function in Healthy Kitchen Workers,"Achievements in the Life SciencesVolume 10, Issue 2, December 2016, Pages 168-174",Arbind KumarChoudharyaRekhaJiwanebTanwirAlamaSadawarte SahebraoKishanraoa,"BackgroundHand grip strength is often considered may predict cognitive functioning and has been established as associates of cognitive performance with individual differences in some particular cross-sectional studies. However, little is known about hand grip strength and cognitive performance in the elderly individuals, and it is not known whether changes in hand grip strength may be associated with preservation/decline in cognitive functioning.ObjectivesWe have studied the impact of hand grip strength on cognition function in healthy kitchen workers.MethodsParticipants (n = 90, age range: 25–40 years) randomly assigned in to two groups according to their nature of work: Group I-Control group (n = 47) - workers recruited for simple work such as dusting, cleaning dining tables and floor. Group II-Study group (n = 43) - workers recruited for firm work such as cooking large quantity of food, kneading dough, rolling chapattis, cut and sauté the vegetables and dish washing. For the analyses, we used at dominant and non- dominant hand; hand grip strength (HGS), reaction time task, sensory disability test (SDT) and cognitive function test (CFT) among both the groups.ResultWe observed that visual reaction time (VRT) and auditory reaction time (ART) were significantly improved in dominant hand of study group, when compare to control group; however it was comparable in non-dominant hand among both the groups. In addition to; among all control and study group female workers there was significant positive correlation between VRT & ART and significant negative correlation between at dominant hand HGS & VRT as well as between at dominant hand HGS & ART. We also observed that dominant hand HGS was a significant predictor of VRT and ART and however there was no any significant variation in body mass index (BMI), sensory disability test (SDT) and cognitive function test (CFT) among both groups.ConclusionWe found that muscle strength (as measured by hand grip strength) was associated with improved reaction time. Hence by using a simple muscle strength test; is one way of obtaining useful information for the development of nerve-muscle coordination. Increased handgrip strength would be associated with preservation of cognitive function.",CognitionGrip strengthReaction timeSensory test,"[('hand', 11), ('strength', 9), ('cognitive', 7), ('grip', 6), ('dominant', 6), ('group', 5), ('test', 5), ('function', 4), ('HGS', 4), ('reaction', 4)]","['BackgroundHand', 'often', 'considered', 'predict', 'functioning', 'established', 'associates', 'individual', 'differences', 'particular', 'cross-sectional', 'studies', 'However', 'little', 'elderly', 'individuals', 'whether', 'changes', 'preservation/decline', 'functioning.ObjectivesWe', 'studied', 'impact', 'cognition', 'healthy', 'kitchen', 'workers.MethodsParticipants', '90', 'age', 'range', 'years', 'randomly', 'assigned', 'according', 'nature', 'I-Control', 'dusting', 'cleaning', 'dining', 'tables', 'floor', 'II-Study', 'firm', 'cooking', 'large', 'quantity', 'food', 'kneading', 'dough', 'rolling', 'chapattis', 'cut', 'sauté', 'vegetables', 'dish', 'washing', 'For', 'analyses', 'non-', 'task', 'groups.ResultWe', 'visual', 'auditory', 'significantly', 'compare', 'comparable', 'non-dominant', 'addition', 'female', 'positive', 'negative', 'well', 'We', 'predictor', 'variation', 'body', 'mass', 'index', 'BMI', 'groups.ConclusionWe', 'measured', 'Hence', 'way', 'obtaining', 'useful', 'information', 'development', 'nerve-muscle', 'coordination', 'Increased', 'handgrip', 'preservation']"
Life Sciences,Neuroscience,"Extracellular/Circulating MicroRNAs: Release Mechanisms, Functions and Challenges","Achievements in the Life SciencesVolume 10, Issue 2, December 2016, Pages 175-186",Mahmodul HasanSohel,"MicroRNAs (miRNAs) are endogenously initiated, small non-coding RNAs and typically regulate the expression of mRNAs in post transcriptional level either via translational repression or mRNA degradation. Aberrant expression of miRNAs is observed in diverse disease and altered physiological states. Recently, it has been revealed that miRNAs are not only present in cells but also in extracellular milieu especially in different bio-fluids including blood plasma, follicular fluid and even in cell culture media. Such extracellular miRNAs (ECmiRNAs) are remarkably stable in the extracellular harsh environment with the presence of high RNAse activity. Although the precise mechanisms of release of cellular miRNAs to extracellular environment remain largely unknown, recent studies suggest that the expression of these ECmiRNAs can be associated with patho-physiological condition of an organism. Moreover, these ECmiRNAs may deliver to the recipient cells via certain pathways where they can regulate translational activity of target genes. This review will discuss the nature and stability of ECmiRNAs along with their release mechanisms. Furthermore, based on recent evidences, it also summarizes the possible function of these ECmiRNAs in distant cell-to-cell communication and the difficulties we may face during ECmiRNA research.",Extracellular miRNACirculating miRNAExosomesBiomarker,"[('miRNAs', 5), ('ECmiRNAs', 5), ('extracellular', 4), ('expression', 3), ('regulate', 2), ('translational', 2), ('cells', 2), ('environment', 2), ('activity', 2), ('mechanisms', 2)]","['MicroRNAs', 'endogenously', 'initiated', 'small', 'non-coding', 'RNAs', 'typically', 'mRNAs', 'post', 'transcriptional', 'level', 'either', 'repression', 'mRNA', 'degradation', 'Aberrant', 'observed', 'diverse', 'disease', 'altered', 'physiological', 'states', 'Recently', 'revealed', 'present', 'milieu', 'especially', 'different', 'bio-fluids', 'including', 'blood', 'plasma', 'follicular', 'fluid', 'even', 'cell', 'culture', 'media', 'Such', 'remarkably', 'stable', 'harsh', 'presence', 'high', 'RNAse', 'Although', 'precise', 'cellular', 'remain', 'largely', 'unknown', 'studies', 'suggest', 'associated', 'patho-physiological', 'condition', 'organism', 'Moreover', 'deliver', 'recipient', 'certain', 'pathways', 'target', 'genes', 'review', 'discuss', 'nature', 'stability', 'along', 'Furthermore', 'based', 'evidences', 'summarizes', 'possible', 'function', 'distant', 'cell-to-cell', 'communication', 'difficulties', 'face', 'ECmiRNA', 'research']"
Life Sciences,Immunology and Microbiology,Sub-acute Ruminal Acidosis (SARA) and its Consequence in Dairy Cattle: A Review of Past and Recent Research at Global Prospective,"Achievements in the Life SciencesVolume 10, Issue 2, December 2016, Pages 187-196",NejashAbdela,"Dairy producer increase milk production by over feeding grain diets that are high in starch and low in fiber to increase intake of energy and met dietary requirements of the high yielding dairy cows. However, these diets increase the risk of subacute ruminal acidosis (SARA). Thus, maximizing milk production without incurring Sub-acute ruminal acidosis is a challenging most dairy producers. The main aims of this paper were to review available article on general aspects of Sub-acute ruminal acidosis and its consequence in dairy cattle by focusing on past and recent article and helping to update the current knowledge for early recognition and limit the associated negative impact in dairy industry. Sub-acute ruminal acidosis is a well-recognized and economically important digestive disorder found particularly in well-managed dairy cattle. It is a consequence of feeding high grain diets to dairy cows and characterized by daily episodes of low ruminal which generally occurs when ruminal pH stays in the range of 5.2 and 6 for a prolonged period resulting in depresses fiber digestion and possibly milk production. There is no typical clinical sign of illness in SARA affected cows. However, SARA is said to be associated with inflammations of different organs and tissues in dairy cows. Rumenocentesis remains the most reliable means of diagnosing SARA. The cow at risk to develop SARA includes cows in the early lactation, Primiparous cows and Cows grazing or fed with rapidly fermentable low fiber grass. SARA has long-term health and economic consequences, which include feed intake depression, fluctuations in feed intake, reduced diet digestibility, reduced milk yield, reduced milk fat percent, gastrointestinal damage, liver abscesses, and lameness. Apart from compromises to dairy cow health and economics, SARA is of concern for animal welfare reasons, since lameness and laminitis impact significantly on cow comfort and general well-being. Thus, it represents a significant concern for dairy industry and the cattle should be regularly monitored to facilitate early recognition of the condition and limit the associated economic losses.",Dairy cattleSARASub-acute ruminal acidosisRuminal acidosis,"[('dairy', 9), ('SARA', 7), ('cows', 6), ('ruminal', 6), ('milk', 5), ('acidosis', 4), ('increase', 3), ('production', 3), ('diets', 3), ('fiber', 3)]","['Dairy', 'producer', 'starch', 'energy', 'met', 'dietary', 'requirements', 'yielding', 'subacute', 'maximizing', 'without', 'incurring', 'challenging', 'producers', 'aims', 'paper', 'review', 'available', 'aspects', 'focusing', 'recent', 'helping', 'update', 'current', 'knowledge', 'negative', 'well-recognized', 'economically', 'important', 'digestive', 'disorder', 'particularly', 'well-managed', 'It', 'characterized', 'daily', 'episodes', 'generally', 'occurs', 'pH', 'stays', 'range', '5.2', '6', 'prolonged', 'period', 'resulting', 'depresses', 'digestion', 'possibly', 'There', 'typical', 'clinical', 'sign', 'illness', 'affected', 'said', 'inflammations', 'different', 'organs', 'tissues', 'Rumenocentesis', 'remains', 'reliable', 'means', 'diagnosing', 'develop', 'includes', 'lactation', 'Primiparous', 'Cows', 'grazing', 'fed', 'rapidly', 'fermentable', 'grass', 'long-term', 'consequences', 'include', 'depression', 'fluctuations', 'diet', 'digestibility', 'yield', 'fat', 'percent', 'gastrointestinal', 'damage', 'liver', 'abscesses', 'Apart', 'compromises', 'economics', 'animal', 'welfare', 'reasons', 'since', 'laminitis', 'significantly', 'comfort', 'well-being', 'represents', 'significant', 'regularly', 'monitored', 'facilitate', 'condition', 'losses']"
